size,estimand,B,boot_mean,lo,hi,cluster
90M,discord_share,2000,0.6834533670625139,0.5016703481354263,0.8405950961151055,task
150M,exp_errors,2000,708.01497525,466.7441125,984.5243312500002,task
150M,mean_p_flip,2000,0.16813203257863663,0.10636921616484432,0.24265010540884363,task
150M,nas_weighted,2000,0.32778967021460786,0.2546067506451313,0.3914332940320576,task
150M,er_real_share,2000,0.13430604901121146,0.058160683419910826,0.2351996668981804,task
150M,noise_share,2000,0.29729955447613177,0.21893041315378306,0.39187053869311994,task
150M,discord_share,2000,0.7027004455238682,0.60812946130688,0.781069586846217,task
300M,exp_errors,2000,511.70373675,348.74051875000004,682.2319687499999,task
300M,mean_p_flip,2000,0.1583899023687138,0.09472425582200658,0.23000610831378498,task
300M,nas_weighted,2000,0.37352189859263557,0.3020399228163061,0.4478066009062598,task
300M,er_real_share,2000,0.06400581375762472,0.025684514350557918,0.11751473472610567,task
300M,noise_share,2000,0.3926083953813194,0.27221516923684047,0.5569577825026135,task
300M,discord_share,2000,0.6073916046186805,0.4430422174973865,0.7277848307631596,task
530M,exp_errors,2000,425.19603362500004,271.70919999999995,570.5784999999997,task
530M,mean_p_flip,2000,0.1304085753172237,0.07312826427320572,0.18997046755101035,task
530M,nas_weighted,2000,0.35848114756436233,0.2937451167346303,0.4176654506523675,task
530M,er_real_share,2000,0.04678082296537378,0.018112009723835462,0.08351857536135954,task
530M,noise_share,2000,0.3810063035018201,0.26331935348089175,0.5150551010357697,task
530M,discord_share,2000,0.6189936964981799,0.4849448989642305,0.7366806465191081,task
750M,exp_errors,2000,517.2032927500001,321.8078375,716.5072562499997,task
750M,mean_p_flip,2000,0.1628698845714814,0.09364171922286782,0.24348092975398053,task
750M,nas_weighted,2000,0.36812047959462535,0.311158124670698,0.4327977781591989,task
750M,er_real_share,2000,0.07138989493443053,0.024272478949705235,0.13624740304742555,task
750M,noise_share,2000,0.3584120839826551,0.28020173290746553,0.4740934614325826,task
750M,discord_share,2000,0.6415879160173448,0.5259065385674173,0.7197982670925344,task
