task,size,n_pairs,errors,err_any_unstable,share_err_any_unstable,share_pairs_unstable,acc
openbookqa,60M,300,93,84,0.9032258064516129,0.66,0.69
openbookqa,90M,300,62,57,0.9193548387096774,0.6233333333333333,0.7933333333333333
openbookqa,150M,300,55,46,0.8363636363636363,0.55,0.8166666666666667
openbookqa,300M,300,53,48,0.9056603773584906,0.5166666666666667,0.8233333333333334
openbookqa,530M,300,50,42,0.84,0.52,0.8333333333333334
openbookqa,750M,300,64,55,0.859375,0.59,0.7866666666666666
piqa,4M,300,86,68,0.7906976744186046,0.58,0.7133333333333334
piqa,6M,300,82,76,0.926829268292683,0.69,0.7266666666666667
piqa,8M,300,68,56,0.8235294117647058,0.66,0.7733333333333333
piqa,10M,300,96,78,0.8125,0.6866666666666666,0.68
piqa,14M,300,52,46,0.8846153846153846,0.5666666666666667,0.8266666666666667
piqa,16M,300,65,62,0.9538461538461539,0.64,0.7833333333333333
piqa,20M,300,87,77,0.8850574712643678,0.62,0.71
piqa,60M,300,89,71,0.797752808988764,0.5433333333333333,0.7033333333333334
piqa,90M,300,65,63,0.9692307692307692,0.5866666666666667,0.7833333333333333
piqa,150M,300,59,56,0.9491525423728814,0.5066666666666667,0.8033333333333333
piqa,300M,300,60,50,0.8333333333333334,0.5666666666666667,0.8
piqa,530M,300,55,50,0.9090909090909091,0.5,0.8166666666666667
piqa,750M,300,61,56,0.9180327868852459,0.5533333333333333,0.7966666666666666
socialiqa,4M,300,165,137,0.8303030303030303,0.8733333333333333,0.45
socialiqa,6M,300,126,116,0.9206349206349206,0.83,0.58
socialiqa,8M,300,71,64,0.9014084507042254,0.76,0.7633333333333333
socialiqa,10M,300,110,98,0.8909090909090909,0.8733333333333333,0.6333333333333333
socialiqa,14M,300,118,105,0.8898305084745762,0.7933333333333333,0.6066666666666667
socialiqa,16M,300,88,79,0.8977272727272727,0.7766666666666666,0.7066666666666667
socialiqa,20M,300,115,99,0.8608695652173913,0.8466666666666667,0.6166666666666667
socialiqa,60M,300,81,79,0.9753086419753086,0.76,0.73
socialiqa,90M,300,105,90,0.8571428571428571,0.75,0.65
socialiqa,150M,300,98,91,0.9285714285714286,0.7633333333333333,0.6733333333333333
socialiqa,300M,300,77,72,0.935064935064935,0.6566666666666666,0.7433333333333333
socialiqa,530M,300,56,51,0.9107142857142857,0.6633333333333333,0.8133333333333334
socialiqa,750M,300,54,49,0.9074074074074074,0.6566666666666666,0.82
winogrande,4M,300,185,158,0.8540540540540541,0.86,0.38333333333333336
winogrande,6M,300,176,144,0.8181818181818182,0.8533333333333334,0.41333333333333333
winogrande,8M,300,139,131,0.9424460431654677,0.91,0.5366666666666666
winogrande,10M,300,134,117,0.8731343283582089,0.84,0.5533333333333333
winogrande,14M,300,169,144,0.8520710059171598,0.8666666666666667,0.43666666666666665
winogrande,16M,300,197,140,0.7106598984771574,0.75,0.3433333333333333
winogrande,20M,300,167,145,0.8682634730538922,0.86,0.44333333333333336
winogrande,60M,300,156,136,0.8717948717948718,0.8266666666666667,0.48
winogrande,90M,300,162,140,0.8641975308641975,0.88,0.46
winogrande,150M,300,164,128,0.7804878048780488,0.8166666666666667,0.4533333333333333
winogrande,300M,300,86,83,0.9651162790697675,0.7766666666666666,0.7133333333333334
winogrande,530M,300,60,55,0.9166666666666666,0.6266666666666667,0.8
winogrande,750M,300,93,89,0.956989247311828,0.81,0.69
